,,,Menores de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1),Mayor de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1)
,,hombre,,1.86,2.2,6.97,25.32,16.43,,15.7,38.88,88.77,335.45,59.39
,,mujer,,0.71,0.69,0.86,30.88,12.1,,10.45,10.83,6.48,340.82,57.49
,Marzo,,,,,,,,,,,,,
,,hombre,,1.86,2.2,6.97,25.32,16.43,,15.7,38.88,88.77,335.45,59.39
,,mujer,,0.71,0.69,0.86,30.88,12.1,,10.45,10.83,6.48,340.82,57.49
,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,
,Octubre,,,,,,,,,,,,,
,,hombre,,1.86,1.66,7.36,28.87,13.59,,16.37,40.42,96.36,334.15,51.96
,,mujer,,1.28,0.48,0.76,35.66,10.67,,8.5,8.96,8.3,346.03,51.5
,Noviembre,,,,,,,,,,,,,
,,hombre,,1.86,1.66,7.36,28.87,13.59,,16.37,40.42,96.36,334.15,51.96
,,mujer,,1.28,0.48,0.76,35.66,10.67,,8.5,8.96,8.3,346.03,51.5
,Diciembre,,,,,,,,,,,,,
,,hombre,,1.86,1.66,7.36,28.87,13.59,,16.37,40.42,96.36,334.15,51.96
,,mujer,,1.28,0.48,0.76,35.66,10.67,,8.5,8.96,8.3,346.03,51.5
,Julio,,,,,,,,,,,,,
,,hombre,,1.44,2.68,9.19,31,11.15,,16.58,44.09,97.58,330.2,44.82
,,mujer,,0.28,1.27,0.78,36.3,9.48,,8.46,9.91,6.37,342.74,46.86
,Agosto,,,,,,,,,,,,,
,,hombre,,1.44,2.68,9.19,31,11.15,,16.58,44.09,97.58,330.2,44.82
,,mujer,,0.28,1.27,0.78,36.3,9.48,,8.46,9.91,6.37,342.74,46.86
,Septiembre,,,,,,,,,,,,,
,,hombre,,1.44,2.68,9.19,31,11.15,,16.58,44.09,97.58,330.2,44.82
,,mujer,,0.28,1.27,0.78,36.3,9.48,,8.46,9.91,6.37,342.74,46.86
,Abril,,,,,,,,,,,,,
